梅州3频道,#genre#

港台频道,#genre#

福建频道,#genre#
CCTV12,http://119.125.104.34:9901/tsfile/live/1027_1.m3u8
CCTV13,http://119.125.104.34:9901/tsfile/live/1028_1.m3u8
CCTV14,http://119.125.104.34:9901/tsfile/live/1029_1.m3u8
CCTV15,http://119.125.104.34:9901/tsfile/live/1030_1.m3u8
CETV1,http://119.125.104.34:9901/tsfile/live/1039_1.m3u8

翡翠台,http://119.125.104.34:9901/tsfile/live/1004_1.m3u8
TVB星河,http://119.125.104.34:9901/tsfile/live/1005_1.m3u8
凤凰中文,http://119.125.104.34:9901/tsfile/live/1036_1.m3u8
凤凰资讯,http://119.125.104.34:9901/tsfile/live/1037_1.m3u8
广东卫视,http://119.125.104.34:9901/tsfile/live/1006_1.m3u8
南方卫视,http://119.125.104.34:9901/tsfile/live/1012_1.m3u8
少儿卫视,http://119.125.104.34:9901/tsfile/live/1032_1.m3u8
星空卫视,http://119.125.104.34:9901/tsfile/live/1042_1.m3u8
湖南卫视,http://119.125.104.34:9901/tsfile/live/1044_1.m3u8
浙江卫视,http://119.125.104.34:9901/tsfile/live/1045_1.m3u8
江苏卫视,http://119.125.104.34:9901/tsfile/live/1046_1.m3u8
东方卫视,http://119.125.104.34:9901/tsfile/live/1047_1.m3u8
深圳卫视,http://119.125.104.34:9901/tsfile/live/1048_1.m3u8
黑龙江卫视,http://119.125.104.34:9901/tsfile/live/1049_1.m3u8
北京卫视,http://119.125.104.34:9901/tsfile/live/1050_1.m3u8
辽宁卫视,http://119.125.104.34:9901/tsfile/live/1051_1.m3u8
贵州卫视,http://119.125.104.34:9901/tsfile/live/1052_1.m3u8
湖北卫视,http://119.125.104.34:9901/tsfile/live/1053_1.m3u8
广西卫视,http://119.125.104.34:9901/tsfile/live/1054_1.m3u8
河南卫视,http://119.125.104.34:9901/tsfile/live/1064_1.m3u8
云南卫视,http://119.125.104.34:9901/tsfile/live/1056_1.m3u8
山西卫视,http://119.125.104.34:9901/tsfile/live/1057_1.m3u8
陽光卫视,http://119.125.104.34:9901/tsfile/live/1058_1.m3u8
安徽卫视,http://119.125.104.34:9901/tsfile/live/1059_1.m3u8
四川卫视,http://119.125.104.34:9901/tsfile/live/1060_1.m3u8
江西卫视,http://119.125.104.34:9901/tsfile/live/1061_1.m3u8
山东卫视,http://119.125.104.34:9901/tsfile/live/1063_1.m3u8
北京卫视,http://119.125.104.34:9901/tsfile/live/1065_1.m3u8
重庆卫视,http://119.125.104.34:9901/tsfile/live/1066_1.m3u8
天津卫视,http://119.125.104.34:9901/tsfile/live/1067_1.m3u8
陕西卫视,http://119.125.104.34:9901/tsfile/live/1068_1.m3u8

五华台,http://119.125.104.34:9901/tsfile/live/1000_1.m3u8
梅州1,http://119.125.104.34:9901/tsfile/live/1001_1.m3u8
梅州2,http://119.125.104.34:9901/tsfile/live/1002_1.m3u8
山歌,http://119.125.104.34:9901/tsfile/live/1003_1.m3u8
广东珠江,http://119.125.104.34:9901/tsfile/live/1007_1.m3u8
广东新闻,http://119.125.104.34:9901/tsfile/live/1008_1.m3u8
广东公共,http://119.125.104.34:9901/tsfile/live/1009_1.m3u8
广东体育,http://119.125.104.34:9901/tsfile/live/1010_1.m3u8
经济科教,http://119.125.104.34:9901/tsfile/live/1011_1.m3u8
南方四,http://119.125.104.34:9901/tsfile/live/1013_1.m3u8
南方五,http://119.125.104.34:9901/tsfile/live/1014_1.m3u8
嘉佳卡通,http://119.125.104.34:9901/tsfile/live/1031_1.m3u8
金鹰卡通,http://119.125.104.34:9901/tsfile/live/1033_1.m3u8
炫动卡通,http://119.125.104.34:9901/tsfile/live/1034_1.m3u8
广东南方购物,http://119.125.104.34:9901/tsfile/live/1035_1.m3u8
中国音乐,http://119.125.104.34:9901/tsfile/live/1038_1.m3u8
珠江电影,http://119.125.104.34:9901/tsfile/live/1040_1.m3u8
谍战剧场,http://119.125.104.34:9901/tsfile/live/1041_1.m3u8
天映,http://119.125.104.34:9901/tsfile/live/1043_1.m3u8
兵团卫,http://119.125.104.34:9901/tsfile/live/1062_1.m3u8
经济科教,http://119.125.104.34:9901/tsfile/live/1069_1.m3u8



广西2频道,#genre#
CCTV1-综合高清,http://116.11.140.122:18181/tsfile/live/faacts/0001_1.m3u8
CCTV2-财经高清,http://116.11.140.122:18181/tsfile/live/0002_1.m3u8
