五华2,#genre#
五华台,http://163.177.122.35:9901/tsfile/live/1000_1.m3u8
五华影视,http://163.177.122.35:9901/tsfile/live/1001_1.m3u8
梅州,http://163.177.122.35:9901/tsfile/live/1002_1.m3u8
梅州-2,http://163.177.122.35:9901/tsfile/live/1003_1.m3u8
本地台,http://163.177.122.35:9901/tsfile/live/1004_1.m3u8
测试,http://163.177.122.35:9901/tsfile/live/1018_1.m3u8
测试,http://163.177.122.35:9901/tsfile/live/1044_1.m3u8
测试,http://163.177.122.35:9901/tsfile/live/1047_1.m3u8
中国交通,http://163.177.122.35:9901/tsfile/live/1093_1.m3u8
岭南戏曲,http://163.177.122.35:9901/tsfile/live/1103_1.m3u8
现代教育,http://163.177.122.35:9901/tsfile/live/1105_1.m3u8
金鹰纪实,http://163.177.122.35:9901/tsfile/live/1066_1.m3u8
中国教育,http://163.177.122.35:9901/tsfile/live/1068_1.m3u8
上海纪实,http://163.177.122.35:9901/tsfile/live/1104_1.m3u8
金鹰卡通,http://163.177.122.35:9901/tsfile/live/1039_1.m3u8
炫动卡通,http://163.177.122.35:9901/tsfile/live/1040_1.m3u8
嘉佳卡通,http://163.177.122.35:9901/tsfile/live/1041_1.m3u8
少儿动画,http://163.177.122.35:9901/tsfile/live/1042_1.m3u8

